"components"	"count"	"rule"	"step"
"(I, \"minor\")"	154.43944902749686	"CFRule(m_termination)"	2
"(I, \"minor\")"	84.4704245966752	"CFRule(m^7_termination)"	2
"(II, \"major\")"	739.1519567391845	"CFRule(m7_termination)"	2
"(II, \"major\")"	318.4262974608069	"CFRule(diatonic_subs)"	2
"(II, \"major\")"	264.97550772174765	"CFRule(modulation)"	2
"(II, \"major\")"	237.7701046421868	"CFRule(dominant_prep)"	2
"(II, \"major\")"	120.71319055050168	"CFRule(diatonic_prep)"	2
"(II, \"major\")"	104.4830805730709	"CFRule(prolongation)"	2
"(II, \"major\")"	31.367292896405047	"CFRule(m_termination)"	2
"(II, \"minor\")"	673.5360870729075	"CFRule(%7_termination)"	2
"(II, \"minor\")"	159.7044792143136	"CFRule(diatonic_subs)"	2
"(II, \"minor\")"	135.12654078183212	"CFRule(modulation)"	2
"(II, \"minor\")"	115.86510773076748	"CFRule(dominant_prep)"	2
"(II, \"minor\")"	103.27236526228083	"CFRule(diatonic_prep)"	2
"(II, \"minor\")"	67.16497408041194	"CFRule(prolongation)"	2
"(III, \"major\")"	222.5213860212266	"CFRule(m7_termination)"	2
"(III, \"major\")"	125.8435703522698	"CFRule(prolongation)"	2
"(III, \"major\")"	120.90095750800366	"CFRule(dominant_prep)"	2
"(III, \"major\")"	83.89015116304611	"CFRule(modulation)"	2
"(III, \"major\")"	24.76630717424482	"CFRule(m_termination)"	2
"(III, \"major\")"	6.397823593212409	"CFRule(diatonic_prep)"	2
"(III, \"minor\")"	1771.7245646058632	"CFRule(diatonic_prep)"	2
"(III, \"minor\")"	1676.5812838215013	"CFRule(prolongation)"	2
"(III, \"minor\")"	1438.2150373748686	"CFRule(^7_termination)"	2
"(III, \"minor\")"	697.0342008171958	"CFRule(modulation)"	2
"(III, \"minor\")"	685.6195152038329	"CFRule(6_termination)"	2
"(III, \"minor\")"	613.304603400369	"CFRule(dominant_prep)"	2
"(III, \"minor\")"	279.46981985546824	"CFRule(^_termination)"	2
"(IV, \"major\")"	578.8315038748186	"CFRule(^7_termination)"	2
"(IV, \"major\")"	385.4611438061221	"CFRule(dominant_prep)"	2
"(IV, \"major\")"	353.96826859983645	"CFRule(modulation)"	2
"(IV, \"major\")"	348.46836192297485	"CFRule(prolongation)"	2
"(IV, \"major\")"	198.70941497864737	"CFRule(6_termination)"	2
"(IV, \"major\")"	92.78214070068373	"CFRule(^_termination)"	2
"(IV, \"minor\")"	2141.9832801754674	"CFRule(m7_termination)"	2
"(IV, \"minor\")"	898.8388771670764	"CFRule(dominant_prep)"	2
"(IV, \"minor\")"	593.1498322419569	"CFRule(modulation)"	2
"(IV, \"minor\")"	438.3287735655416	"CFRule(prolongation)"	2
"(IV, \"minor\")"	144.52590423147376	"CFRule(m_termination)"	2
"(V, \"major\")"	3534.382585453108	"CFRule(7_termination)"	2
"(V, \"major\")"	1324.4392392262819	"CFRule(dominant_prep)"	2
"(V, \"major\")"	1248.6480139830574	"CFRule(diatonic_prep)"	2
"(V, \"major\")"	1065.6251563363542	"CFRule(octa_dom_subs3)"	2
"(V, \"major\")"	947.1436896221873	"CFRule(octa_dom_subs6)"	2
"(V, \"major\")"	863.0771943905563	"CFRule(octa_dom_subs9)"	2
"(V, \"major\")"	767.4870540788922	"CFRule(prolongation)"	2
"(V, \"major\")"	602.4477942575962	"CFRule(diatonic_subs)"	2
"(V, \"major\")"	345.4368994568371	"CFRule(modulation)"	2
"(V, \"major\")"	278.37139606360176	"CFRule(m6_termination)"	2
"(V, \"major\")"	112.22853407822113	"CFRule(sus_termination)"	2
"(V, \"major\")"	37.06576596425739	"CFRule(^_termination)"	2
"(V, \"major\")"	12.474554275879218	"CFRule(+_termination)"	2
"(V, \"minor\")"	2058.6898785586127	"CFRule(7_termination)"	2
"(V, \"minor\")"	900.4121727266255	"CFRule(diatonic_prep)"	2
"(V, \"minor\")"	674.7694773487176	"CFRule(dominant_prep)"	2
"(V, \"minor\")"	633.7380865716202	"CFRule(diatonic_subs)"	2
"(V, \"minor\")"	477.4179891045143	"CFRule(octa_dom_subs6)"	2
"(V, \"minor\")"	414.37374956231065	"CFRule(octa_dom_subs9)"	2
"(V, \"minor\")"	413.4330466355103	"CFRule(octa_dom_subs3)"	2
"(V, \"minor\")"	348.3532283743515	"CFRule(m7_termination)"	2
"(V, \"minor\")"	321.6910737655627	"CFRule(prolongation)"	2
"(V, \"minor\")"	306.735465850203	"CFRule(modulation)"	2
"(V, \"minor\")"	70.74757611088992	"CFRule(sus_termination)"	2
"(V, \"minor\")"	23.44125376078471	"CFRule(^_termination)"	2
"(V, \"minor\")"	18.806810183659984	"CFRule(m_termination)"	2
